"Identifica̤̣o","Designa̤̣o","Pacote","Quantidade","Designa̤̣o","Fornecedor e refer̻ncia",
1,"U1","NUCLEO-F3",1,"NUCLEO-F303K8",,,
2,"R1,R2,R9,R10","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",4,"1k",,,
3,"C1,C7","CP_Radial_D6.3mm_P2.50mm",2,"100uF",,,
4,"C2,C3,C8,C9","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4,"1uF",,,
5,"C4","CP_Radial_D4.0mm_P2.00mm",1,"10uF",,,
6,"C5,C6","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",2,"100nF",,,
7,"J1","PinHeader_1x02_P2.54mm_Vertical",1,"BATTERY",,,
8,"R3","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",1,"22k",,,
9,"R4","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",1,"2k2",,,
10,"R5,R6","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",2,"47k",,,
11,"R7,R8","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",2,"91k",,,
12,"SW1","PRK22J5DBBNN",1,"SW_SPST",,,
13,"U3","SOT-89-3_Handsoldering",1,"LM78L05",,,
14,"U4","NRF24L01",1,"nRF24L01+",,,
15,"U2","DIP-16_W7.62mm_Socket_LongPads",1,"SN754410",,,
16,"D1","D_SMB_Handsoldering",1,"SS34",,,
17,"P1,P2","PinHeader_1x06_P2.54mm_Horizontal",2,"MOTOR_R",,,
